id,app,name,applied
1,contenttypes,0001_initial,2022-05-05 06:35:57.422348 +00:00
2,auth,0001_initial,2022-05-05 06:35:57.478130 +00:00
3,admin,0001_initial,2022-05-05 06:35:57.497914 +00:00
4,admin,0002_logentry_remove_auto_add,2022-05-05 06:35:57.509975 +00:00
5,admin,0003_logentry_add_action_flag_choices,2022-05-05 06:35:57.517403 +00:00
6,contenttypes,0002_remove_content_type_name,2022-05-05 06:35:57.532399 +00:00
7,auth,0002_alter_permission_name_max_length,2022-05-05 06:35:57.539607 +00:00
8,auth,0003_alter_user_email_max_length,2022-05-05 06:35:57.546655 +00:00
9,auth,0004_alter_user_username_opts,2022-05-05 06:35:57.552982 +00:00
10,auth,0005_alter_user_last_login_null,2022-05-05 06:35:57.559967 +00:00
11,auth,0006_require_contenttypes_0002,2022-05-05 06:35:57.561822 +00:00
12,auth,0007_alter_validators_add_error_messages,2022-05-05 06:35:57.570389 +00:00
13,auth,0008_alter_user_username_max_length,2022-05-05 06:35:57.581190 +00:00
14,auth,0009_alter_user_last_name_max_length,2022-05-05 06:35:57.588087 +00:00
15,auth,0010_alter_group_name_max_length,2022-05-05 06:35:57.595791 +00:00
16,auth,0011_update_proxy_permissions,2022-05-05 06:35:57.603138 +00:00
17,auth,0012_alter_user_first_name_max_length,2022-05-05 06:35:57.609740 +00:00
18,feed,0001_initial,2022-05-05 06:35:57.617344 +00:00
19,feed,0002_article_date_public_alter_article_date,2022-05-05 06:35:57.622707 +00:00
20,sessions,0001_initial,2022-05-05 06:35:57.633144 +00:00
